CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,80,San Antonio de Prado,"$66,863,648",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,90,Santa Elena,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,15,Guayabal,"$53,786,051",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040053,Plan Desarme,15,Guayabal,"$8,997,200",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,100122,PP11-APOYO INSTITUCIONAL Y DE INFRAESTRUCTURA DE SEGURIDAD Y JUSTICIA,14,El Poblado,"$278,233,406",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,100118,Pp11-promocion de la convivencia familiar aplicación de la ley de infancia y adolescencia,14,El Poblado,"$27,558,626",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080114,Medellín Despierta Para La Vida,80,San Antonio de Prado,"$25,500,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,80,San Antonio de Prado,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,090081,"PP - Medellin Despierta Para La Vida, Comunas 2, 7, 8, 11, 12, 14, 50, 60 Y 80",14,El Poblado,"$15,000,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,090077,"PP Plan Desame En Las Comunas 5,8, 9,11, 13,14,80",14,El Poblado,"$40,049,335",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,6,Doce de Octubre,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080104,Atención A Victimas Del Conflicto Armado,80,San Antonio de Prado,"$102,750,825",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040312,Manual De Convivencia,6,Doce de Octubre,"$25,500,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,14,El Poblado,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080104,Atención A Victimas Del Conflicto Armado,14,El Poblado,"$4,892,896",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,14,El Poblado,"$800,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,14,El Poblado,"$4,351,610",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,80,San Antonio de Prado,"$76,878,445",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,6,Doce de Octubre,"$240,789,092",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,6,Doce de Octubre,"$1,102,046,828",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080103,Guias Ciudadanos Para La Convivenica,6,Doce de Octubre,"$250,000,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,100127,"PP11-VIGILANTES, VIGIAS DE MI BARRIO",9,Buenos Aires,"$35,000,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,090076,"PP10-MANUAL DE CONVIVENCIA CIUDADANA EN LAS COMUNA 1, 2, 3, 8, 9, 11, 14, 15, 16 Y 70",14,El Poblado,"$54,055,670",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,090081,"PP - Medellin Despierta Para La Vida, Comunas 2, 7, 8, 11, 12, 14, 50, 60 Y 80",50,San Sebastián de Palmitas,"$5,000,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,12,La América,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080104,Atención A Victimas Del Conflicto Armado,50,San Sebastián de Palmitas,"$978,579",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,50,San Sebastián de Palmitas,"$38,536,623",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040312,Manual De Convivencia,16,Belén,"$17,500,000",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,16,Belén,"$53,425,071",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,0,040053,Plan Desarme,16,Belén,"$8,997,200",2011,31-Dic-2011
201,Secretaría de Gobierno y Gestión del Gabinete,1,100127,"PP11-VIGILANTES, VIGIAS DE MI BARRIO",15,Guayabal,"$60,000,000",2011,31-Dic-2011
