CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte
201,Secretaría de Gobierno y Gestión del Gabinete,0,080118,Promoción De La Convivencia Familiar Y Aplicación De La Ley,6,Doce de Octubre,"$42,929,366",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080497,PP PLAN DESARME,50,San Sebastián de Palmitas,"$6,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080103,Guias Ciudadanos Para La Convivenica,60,San Cristobal,"$6,832,278",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,60,San Cristobal,"$146,756,529",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,60,San Cristobal,"$49,635,036",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,040312,Manual De Convivencia,60,San Cristobal,"$24,444,444",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080566,PP FORTALECIMIENTO Y ASISTENCIA DE LOS DERECHOS HUMANOS,6,Doce de Octubre,"$180,410,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080114,Medellín Despierta Para La Vida,60,San Cristobal,"$34,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080168,PP PROMOCIÓN DE LA CONVIVENCIA FAMILIAR Y APLICACIÓN DE LA LEY DE INFANCIA Y ADOLESCENCIA,6,Doce de Octubre,"$121,600,700",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080118,Promoción De La Convivencia Familiar Y Aplicación De La Ley,60,San Cristobal,"$35,575,724",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080114,Medellín Despierta Para La Vida,6,Doce de Octubre,"$34,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,6,Doce de Octubre,"$7,841,198",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080103,Guias Ciudadanos Para La Convivenica,6,Doce de Octubre,"$88,819,307",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,6,Doce de Octubre,"$1,245,143,242",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,6,Doce de Octubre,"$280,291,971",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,050061,PP FORTALECIMENTO Y ASISTENCIA A LOS DERECHOS HUMANOS,6,Doce de Octubre,"$5,474,908",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,040352,Diseño E Implementación De Una Estrategia De Desmovilizaión,99,Toda la Ciudad,"$766,163,127",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080181,PP MEDELLÍN DESPIERTA PARA LA VIDA,6,Doce de Octubre,"$30,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080101,Estrategia De Acompañamiento A Las Familias Y Comunidades Que Reciben Desmovilizados,7,Robledo,"$204,379,562",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080181,PP MEDELLÍN DESPIERTA PARA LA VIDA,7,Robledo,"$35,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080180,"PP - APOYO INSTITUCIONAL Y DE INFRAESTRUCTURA PARA LA SEGURIDAD CIUDADANA EN LAS COMUNAS 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 60, 70, 80 Y 90",7,Robledo,"$91,833,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,1,080168,PP PROMOCIÓN DE LA CONVIVENCIA FAMILIAR Y APLICACIÓN DE LA LEY DE INFANCIA Y ADOLESCENCIA,7,Robledo,"$42,956,054",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080118,Promoción De La Convivencia Familiar Y Aplicación De La Ley,7,Robledo,"$43,128,113",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080114,Medellín Despierta Para La Vida,7,Robledo,"$34,000,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,7,Robledo,"$10,780,000",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080113,Delinquir No Paga,60,San Cristobal,"$10,090,858",2009,31-Dic-2009
201,Secretaría de Gobierno y Gestión del Gabinete,0,080102,Atención A Jóvenes En Alto Riego De Pertenecer A Grupos Armados Al Margen De La Ley,7,Robledo,"$508,002,370",2009,31-Dic-2009
