CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte
601,Secretaría Privada,0,120360,Administración de información corporativa de entes descentralizados,99,Toda la Ciudad,"$472,502,476",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130491,PP-14-13-Potenciar el desarrollo de la Comuna a través de las comunicaciones y las tics,13,San Javier,"$31,886,431",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,140065,PP-14-16 Fortalecimiento a los medios de comunicación Comuna 16,16,Belén,"$15,440,389",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,140064,PP-14-7-Fortalecimiento a los medios de comunicación Comuna 7,7,Robledo,"$48,600,000",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,140061,PP-14-2-Fortalecimiento a los medios de comunicación Comuna 2,2,Santa Cruz,"$90,264,752",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130490,PP-14-50-Fortalecimiento y apoyo a los medios de comunicación comunitarios del corregimiento de San Sebastián  de Palmitas,50,San Sebastián de Palmitas,"$28,474,716",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130489,"PP-14-6-Fortalecimiento del sistema de información y comunicación de la Comuna seis, con el fin de incrementar los niveles de participación, organización y articulación de los y las habitantes de este territorio",6,Doce de Octubre,"$105,955,867",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130488,"PP-14-10-Fortalecimiento de la plataforma de comunicaciones para la divulgación de los procesos de gestión, participación y desarrollo local de la Comuna 10, la Candelaria.",10,La Candelaria,"$79,717,397",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130487,PP-14-1-Proyecto comunicacional para el desarrollo de la Comuna uno,1,Popular,"$94,394,620",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130486,PP-14-8-Fortalecimiento de los procesos de comunicación y difusión de las actividades culturales de la Comuna 8 - Villa Hermosa.,8,Villa Hermosa,"$76,502,411",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,50,San Sebastián de Palmitas,"$89,167,427",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,15,Guayabal,"$83,919,939",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,13,San Javier,"$64,273,939",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,12,La América,"$90,830,662",2014,31-Dic-2014
602,Secretaría de Comunicaciones,0,120363,Fortalecimiento de la participación en procesos de comunicación comunitaria,99,Toda la Ciudad,"$137,252,728",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,11,Laureles - Estadio,"$108,834,254",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,140062,PP-14-4-Fortalecimiento a los medios de comunicación Comuna 4,4,Aranjuez,"$13,318,502",2014,31-Dic-2014
602,Secretaría de Comunicaciones,0,120362,Estrategias de comunicación política para la democracia participativa,99,Toda la Ciudad,"$12,859,343,366",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,1,Popular,"$64,511,939",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,2,Santa Cruz,"$98,967,939",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,3,Manrique,"$34,920,899",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,5,Castilla,"$34,296,941",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,9,Buenos Aires,"$194,549,375",2014,31-Dic-2014
602,Secretaría de Comunicaciones,1,130258,Pp13-Fortalecimiento procesos comunic comunitaria,10,La Candelaria,"$137,261,899",2014,31-Dic-2014
602,Secretaría de Comunicaciones,0,120361,Comunicacion organ gestion de lo publico,99,Toda la Ciudad,"$1,048,793,356",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,0,120218,Fortalecimiento estratégico de la planeación social y economica,99,Toda la Ciudad,"$250,330,509",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,4,Aranjuez,"$96,185,675",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,9,Buenos Aires,"$107,539,685",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,7,Robledo,"$12,052,692",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,5,Castilla,"$92,179,325",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,3,Manrique,"$39,764,250",2014,31-Dic-2014
604,Departamento Administrativo de Planeación Municipal,1,140057,PP-13 Fortalecimiento Planeación Local,2,Santa Cruz,"$97,515,069",2014,31-Dic-2014
